#NAME,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,S1A,S1B,S1C,S2A,S2C,S3A,S3B,S3C,S4A,S4B,S4C,S5A,S5C,S6A,S6B,S6C,S7A,S7B,S7C,S8A,S8B,S8C,S9A,S9B,S9C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
113312d2592bc1747c8f413b4c00ad4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,200,0,0,0,0,0,0,0,0,4383,0,0,0,13,0,69,86,0,337,2949,479,233,0,5676,813,0,838
87268e3039de9b0005b1e42e51ea4fc7,178,0,0,280,61,327,414,159,76,0,45,0,0,0,0,0,0,0,41,0,0,0,0,283,112,113,50,417,229,2730,158,567,160,62,205,0,16,142,1691,497,263,3956,126,0,0,0
0b9c7d471caef25475746d83dfa0dcbe,0,0,0,0,0,0,0,0,0,23,0,37,31,0,0,0,0,0,0,89,0,0,0,0,0,9,0,0,0,49,0,31,19,0,0,159,0,0,459,0,0,156,0,0,0,0
7237407dd055ccae1d357ea526b685db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15258326978d3562a1f9aa731ca8a159,0,0,0,0,0,0,0,0,0,81,100,376,0,0,0,0,12,0,76,51,0,0,0,381,50,404,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,53
1b268f85645c57bc67fc67e2863d6688,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
9966ba5c81f9198836790fc38be7c474,0,0,0,0,0,0,0,0,0,886,1114,219,15,0,0,0,0,0,136,245,0,42,0,413,160,284,0,30,0,0,32,0,0,0,21,34,0,20,0,0,0,0,0,28,286,241
1aee159d79ecf136dc884194c8507503,41,0,0,0,10,31,0,21,0,77,108,66,0,0,0,0,0,0,44,19,0,0,0,131,33,218,44,87,0,27,48,0,74,0,52,0,0,69,34,0,53,15,0,0,61,0
bcee1ce0aec082b960600bec8dbf322e,1,217,63,1,67,242,1103,0,414,0,25,30,22,43,292,535,79,0,0,102,0,0,71,0,23,57,10,1,1141,1,0,30,1,67,36,103,77,123,641,684,0,8,390,1876,252,3533
b3dcb6f20608c533f82cdddd5caaafcf,420,0,0,139,27,45,0,0,203,0,0,0,24,21,0,20,0,0,0,31,36,0,0,71,0,0,12,0,0,33,0,10,0,0,0,37,0,0,19,26,0,24,0,0,0,0
2580a61f4bf28c25c24bc0da817700ab,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
d80e519285e2f1c3c4ee8bddf57100fb,0,0,0,0,0,0,0,0,0,697,1413,196,0,0,0,0,0,0,188,881,0,0,0,254,52,309,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,480,57
4e3293dbd7d9336c0ed6064d82f9cc37,0,0,0,0,0,0,0,0,0,644,540,251,0,27,13,0,0,0,323,141,0,0,0,495,142,921,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,351,77
019eee2e0d8bf39059c307f10579fc75,192,10,0,0,50,25,173,0,132,16,0,24,322,1861,18,274,147,24,3632,0,696,98,0,43,0,28,1114,0,0,0,21,1067,0,33,22,0,0,0,31,0,0,0,0,0,0,0
74dab158688d088c32ebd9f21f87b1db,0,0,0,0,0,0,0,0,0,794,1282,318,23,0,0,0,0,0,101,410,0,0,0,358,76,323,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,406,63
85d8fa5c69723403291088a64b102732,343,0,0,214,0,106,62,0,249,0,0,0,439,126,426,546,108,36,43,59,676,246,116,34,209,0,68,0,0,98,58,852,0,0,0,37,0,44,116,0,41,40,0,16,22,0
a89152e5ccb9e56d6d1fe8bff8def851,451,0,0,134,68,399,82,101,35,0,0,0,0,0,0,0,0,24,31,0,0,0,0,132,0,297,0,717,274,2145,64,118,167,56,88,0,0,73,1166,311,82,2282,95,0,27,0
081183c2c74f48b68ae9a62f9b6996fd,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,6,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
6f6b31e7b95f6b47c74bd4eba57f8cf3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0
1d110b16a03bccac1abb78f1ed239d95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
