Kingdom,Phylum,Class,Order,Family,Genus,Week0,Group_lefses1,Week6,Group_lefses2,Week19,Group_lefses3
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Kiloniellales,f__Kiloniellaceae,f__Kiloniellaceae,2.6552169657909452,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,2.651668823028167,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__Owenweeksia,2.6488360265111917,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,2.646008231420262,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,2.6416438029803664,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Marinoscillum,2.6342088959123506,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__37-13,2.6293782071321146,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Kiloniellales,f__Kiloniellaceae,g__Pelagibius,2.6014627632825342,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,2.5900709531911117,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,2.5878251196443527,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__Subgroup_22,f__Subgroup_22,g__Subgroup_22,2.537152203995035,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Grimontia,2.5050208752127365,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,0,NotSig,4.5493080210298125,Wild,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,f__Rhodobacteraceae,0,NotSig,3.525343419081546,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,0,NotSig,3.109547047894298,Wild,0,NotSig
d__Bacteria,p__SAR324_clade(Marine_group_B),c__SAR324_clade(Marine_group_B),o__SAR324_clade(Marine_group_B),f__SAR324_clade(Marine_group_B),g__SAR324_clade(Marine_group_B),0,NotSig,3.013471719585462,Tank,0,NotSig
d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__PB19,f__PB19,g__PB19,0,NotSig,2.892727910796834,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,f__Cellvibrionaceae,0,NotSig,2.6858710419363043,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,0,NotSig,2.674764486377421,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Parvularculaceae,g__Marinicaulis,0,NotSig,2.6614759702176496,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,0,NotSig,0,NotSig,5.378306731796467,Wild
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,f__Methyloligellaceae,0,NotSig,0,NotSig,3.547563188093642,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_III,g__Clade_III,0,NotSig,0,NotSig,3.465344667552887,Tank
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aurantivirga,0,NotSig,0,NotSig,3.216035287740134,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,f__Hyphomonadaceae,0,NotSig,0,NotSig,3.2117374771022775,Tank
d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,0,NotSig,0,NotSig,3.0905745211245996,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter,0,NotSig,0,NotSig,2.8377739022791184,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__HIMB11,0,NotSig,0,NotSig,2.835974964711854,Tank
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,0,NotSig,0,NotSig,2.8333121069698617,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Enhydrobacter,0,NotSig,0,NotSig,2.8054000094513887,Wild
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Salinirepens,0,NotSig,0,NotSig,2.745509266055283,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,0,NotSig,0,NotSig,2.7341655576115915,Tank
d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,f__Arcobacteraceae,0,NotSig,0,NotSig,2.7320859387418044,Tank
d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,f__Microtrichaceae,0,NotSig,0,NotSig,2.658990982309214,Wild
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,0,NotSig,0,NotSig,2.648002699558028,Tank
d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmataceae,g__Candidatus_Bacilloplasma,0,NotSig,0,NotSig,2.629469790722586,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__AEGEAN-169_marine_group,g__AEGEAN-169_marine_group,0,NotSig,0,NotSig,2.6122810115829442,Tank
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS4_marine_group,0,NotSig,0,NotSig,2.5839243797116045,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Thiothrix,0,NotSig,0,NotSig,2.532042375665301,Tank
