＃NAME,Name,Type,Time,Treatment,Colony,environment,environment2,Group,Type_wild,All_type
SW0A,SW0A,coral,0,Sclero,1,wild,wild,week0,wild,wild_0
SW0B,SW0B,coral,0,Sclero,2,wild,wild,week0,wild,wild_0
SW0C,SW0C,coral,0,Sclero,3,wild,wild,week0,wild,wild_0
SW1A,SW1A,coral,6,Sclero,1,wild,wild,week6,wild,wild_6
SW1B,SW1B,coral,6,Sclero,2,wild,wild,week6,wild,wild_6
SW1C,SW1C,coral,6,Sclero,3,wild,wild,week6,wild,wild_6
SWFA,SWFA,coral,19,Sclero,1,wild,wild,week6,wild,wild_19
SWFB,SWFB,coral,19,Sclero,2,wild,wild,week19,wild,wild_19
SWFC,SWFC,coral,19,Sclero,3,wild,wild,week19,wild,wild_19
S13A,S13A,coral,19,Sclero,1,tank,tank,week19,wild,tank_19
S13B,S13B,coral,19,Sclero,2,tank,tank,week19,wild,tank_19
S13C,S13C,coral,19,Sclero,3,tank,tank,week19,wild,tank_19
WA0,WA0,water,0,Sea water,1,tank,tank,week0,tank,tank_0
WB0,WB0,water,0,Sea water,2,tank,tank,week0,tank,tank_0
WC0,WC0,water,0,Sea water,3,tank,tank,week0,tank,tank_0
WA1,WA1,water,1,Sea water,1,tank,tank,week1,tank,tank_1
WB1,WB1,water,1,Sea water,2,tank,tank,week1,tank,tank_1
WC1,WC1,water,1,Sea water,3,tank,tank,week1,tank,tank_1
WA2,WA2,water,6,Sea water,1,tank,tank,week6,tank,tank_6
WB2,WB2,water,6,Sea water,2,tank,tank,week6,tank,tank_6
WC2,WC2,water,6,Sea water,3,tank,tank,week6,tank,tank_6
WA3,WA3,water,19,Sea water,1,tank,tank,week12,tank,tank_19
WB3,WB3,water,19,Sea water,2,tank,tank,week12,tank,tank_19
WC3,WC3,water,19,Sea water,3,tank,tank,week12,tank,tank_19
WW0,WW0,water,0,Sea water,1,wild,wild,week0,wild,wild_0
WW1,WW1,water,6,Sea water,1,wild,wild,week6,wild,wild_6
WW2,WW2,water,19,Sea water,1,wild,wild,week19,wild,wild_19
