,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
a8662ad41e94bfa4e50442d56fe9cca9,-0.507092553,0.135224681,-0.507092553,-0.845154255,0.507092553,0.03380617,0.371867872,0.06761234,0.439480212,-0.101418511,0.06761234,-0.777541914,0.270449362
164ae6f1fe51c89d14f178270edfe70b,-0.698253252,0.212511859,-0.333947207,-0.576817904,0.576817904,0.333947207,0.698253252,0.030358837,0.151794185,-0.030358837,0.030358837,-0.51610023,-0.030358837
11be8ff9b50053a29a2d11bd4eb089ac,-0.212511859,-0.273229533,0.151794185,0.151794185,0.333947207,-0.394664881,0.212511859,0.51610023,-0.333947207,0.212511859,0.758970926,-0.273229533,-0.758970926
7e9686512ae077b3d77328c558f3b122,0.439480212,-0.101418511,-0.270449362,-0.371867872,-0.439480212,-0.439480212,-0.338061702,-0.169030851,-0.270449362,-0.338061702,-0.169030851,-0.304255532,0.03380617
9a8259ec90dd26abe0fc3a9e11020bab,0.130930734,0.392792202,0.130930734,-0.392792202,-0.130930734,-0.130930734,0.392792202,0.654653671,0.130930734,0.392792202,0.654653671,-0.654653671,-0.130930734
a191df7d4719b203acd0200bdb5efb73,-0.376851173,-0.260896966,-0.81167945,-0.985610761,0.463816829,-0.405839725,-0.057977104,-0.202919862,0.231908414,-0.49280538,-0.115954207,-0.869656553,0.231908414
3e2b0e1bf1c805cbf242ade2c28f25af,-0.392792202,0.130930734,0.392792202,0.654653671,0.130930734,0.654653671,0.654653671,-0.130930734,-0.654653671,0.130930734,-0.130930734,0.654653671,-0.654653671
d952d7c492f66efcf8a598a66b27e12a,-0.845154255,-0.03380617,-0.338061702,-0.169030851,0.676123404,0.540898723,0.540898723,-0.439480212,-0.06761234,-0.270449362,-0.439480212,0.06761234,-0.06761234
cd80de72ad2f796efd9605b6d3c8470c,-0.392792202,0.130930734,0.392792202,0.654653671,0.130930734,0.654653671,0.654653671,-0.130930734,-0.654653671,0.130930734,-0.130930734,0.654653671,-0.654653671
d8676d93893c1043c3e11b83c4b2be4c,-0.130930734,-0.654653671,-0.130930734,0.130930734,0.392792202,-0.654653671,-0.392792202,0.130930734,-0.130930734,-0.130930734,0.392792202,-0.130930734,-0.392792202
6c23195eab034aa7cbb038683c0eed5e,0.130930734,0.392792202,0.130930734,-0.392792202,-0.130930734,-0.130930734,0.392792202,0.654653671,0.130930734,0.392792202,0.654653671,-0.654653671,-0.130930734
8e369206f88784d5a344388bc9f1465a,0.130930734,0.392792202,0.130930734,-0.392792202,-0.130930734,-0.130930734,0.392792202,0.654653671,0.130930734,0.392792202,0.654653671,-0.654653671,-0.130930734
f302f72a8f1b2707b760c70baf9b4210,-0.576817904,-0.151794185,-0.576817904,-0.8196886,0.698253252,-0.273229533,0.212511859,0.151794185,0.394664881,-0.151794185,0.273229533,-0.880406274,0.091076511
47f8e5bf3edc32cca5052903d3978a15,0.394664881,0.030358837,0.212511859,0.51610023,-0.576817904,0.273229533,-0.212511859,-0.51610023,-0.51610023,-0.212511859,-0.637535578,0.758970926,-0.030358837
a5bf05da7be0e2dc4a74ac68758a80f7,0.130930734,0.392792202,0.130930734,-0.392792202,-0.130930734,-0.130930734,0.392792202,0.654653671,0.130930734,0.392792202,0.654653671,-0.654653671,-0.130930734
04ecd617a2a80ef6657258f0816ee4b6,-0.758970926,-0.394664881,-0.030358837,0.394664881,0.698253252,0.212511859,0.394664881,-0.212511859,-0.51610023,-0.151794185,-0.030358837,0.333947207,-0.698253252
353ccb0173f5e92c6ac27dbeeb3e3ab6,-0.392792202,0.130930734,0.392792202,0.654653671,0.130930734,0.654653671,0.654653671,-0.130930734,-0.654653671,0.130930734,-0.130930734,0.654653671,-0.654653671
7e05144b556dcf8bbdb190d13dad8ddc,-0.758970926,-0.394664881,-0.030358837,0.394664881,0.698253252,0.212511859,0.394664881,-0.212511859,-0.51610023,-0.151794185,-0.030358837,0.333947207,-0.698253252
4079867ca2548306e4279eadf0c872f5,-0.151794185,-0.030358837,0.212511859,0.030358837,0.212511859,-0.273229533,0.394664881,0.637535578,-0.273229533,0.333947207,0.8196886,-0.394664881,-0.698253252
