,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
0a5dd61b9c5abb8272449ebdb9e64a26,0.085967159,0.333899141,0.260487623,0.604372172,0.260487623,0.416291119,0.098536043,0.638240151,0.260487623,0.260487623,0.360402228,0.260487623,0.743161784
cba02cf3450b501a626eeec6af62c41b,0.168397435,0.294990244,0.897928395,0.914885718,0.65108385,0.948883729,0.273029747,0.034670107,0.780553853,0.231784065,0.417477917,0.731278765,0.558846375
7420f69e3b7342114aa3d72d85146486,0.965474778,0.761084067,0.372111793,0.397969535,0.372111793,0.509101515,0.299588759,0.092161953,0.23506871,0.896622545,0.104289826,0.452055615,0.016814014
a5174368e442de4e7934492ef8863b5b,0.308495272,0.124976784,0.029818036,0.308495272,0.406397014,0.154390121,0.831214098,0.898352804,0.035769575,0.029818036,0.286105102,0.124976784,0.308495272
64138b45d423a0faea67d8f711fbf66e,0.366029243,0.056676692,0.715032245,0.458068844,0.262381417,0.317822682,0.682839816,0.017117126,0.391360449,0.931872806,0.25195669,0.797138809,0.471961793
d527e281ad03dc5d3442f0b17de25787,0.035769575,0.170470661,0.898352804,0.700094231,0.66823104,0.575514896,0.154390121,0.007224785,0.432845327,0.406397014,0.224216107,1,0.636819812
b2bb357bc06303cb5855a8ebcc88e7f9,0.264586047,0.636819812,0.575514896,0.545698778,1,0.605901274,0.042442272,0.605901274,0.932156736,0.932156736,0.797971695,0.765007943,0.139226868
cf872dbe002b9115ca9a3016f9a10cb7,0.460030329,0.019942126,0.575514896,0.406397014,0.898352804,0.966054804,0.765007943,0.015944017,0.932156736,0.243952436,0.308495272,0.432845327,0.636819812
be5281dcc05a347d657a220d4dc9192f,0.527441791,0.482591715,0.946836001,0.858720651,0.982269715,0.497362103,0.911482784,0.141350837,0.946836001,0.497362103,0.297181462,0.964546145,0.411616235
67f81f00c3b201bbe37bf6e789dab608,0.215411703,0.021026303,0.277169878,0.146240258,0.930999141,0.965474778,0.372111793,0.070605206,0.896622545,0.480224692,0.599623064,0.23506871,0.965474778
721bb4a70294afe4f5907febb4b27a28,0.438197804,0.146784307,0.168414616,0.438197804,0.90717701,0.815318071,0.092120273,0.367180978,0.725369136,0.033013078,0.638240151,0.638240151,0.333899141
f1b96311f82b6a8a28463b64d538e06d,0.347080122,0.322898563,0.794576966,0.255658533,0.630966824,0.070605206,0.630966824,0.092161953,0.178927491,0.23506871,0.044707236,0.480224692,0.480224692
b8c36d2bd0c35266f64cdb3a17fccbf0,0.482591715,0.044341408,0.771936932,0.737778012,0.687291203,0.876263484,0.720842697,0.018132763,0.982269715,0.105704572,0.425413443,0.789147998,0.621632737
a9e3e3ccc90aed964724c9a51d5d1508,0.862394192,0.021026303,0.630966824,0.630966824,0.630966824,0.761084067,0.896622545,0.061137855,0.727931103,0.044707236,0.695164092,0.630966824,0.862394192
94ae794d1cf92666f97b84f8c36999f0,0.480224692,0.061137855,0.862394192,0.727931103,0.509101515,0.599623064,0.794576966,0.031425256,0.862394192,0.162108899,0.397969535,0.727931103,0.630966824
f1b6ea3c41e7dbe2ea0a9e3fab6baa5c,0.299588759,0.509101515,0.277169878,0.509101515,0.727931103,0.196696052,0.630966824,0.002632372,0.104289826,0.761084067,0.052514014,0.277169878,0.104289826
7ddfb7c47b68649cc601bed989ed0c9e,0.797971695,0.308495272,0.187469855,0.765007943,0.355819573,0.545698778,0.66823104,0.545698778,0.355819573,0.058073058,0.797971695,0.636819812,0.765007943
c9689068c7cc53cd54d650b9b9b4d135,0.308991804,0.274269322,0.946836001,0.858720651,0.876263484,0.789147998,0.670687144,0.048229312,0.841231156,0.497362103,0.174344715,0.858720651,0.497362103
d8555bb3184d48b522755db01bca4763,0.876263484,0.231337184,0.929145985,0.893853069,0.841231156,0.841231156,0.964546145,0.052328627,0.789147998,0.241704216,0.285606535,0.893853069,0.425413443
6ded4db97402a50320cca4b469e8b3b0,0.025883597,0.131318625,0.538651441,0.131318625,0.162108899,0.509101515,0.052514014,0.299588759,0.695164092,0.538651441,0.930999141,0.372111793,0.277169878
c466ac7533a8b29b10c9340f74e5b19c,0.81379431,0.002805929,0.471961793,0.109804,0.529241311,0.897928395,0.747618229,0.160266668,0.731278765,0.176759832,0.731278765,0.137261979,0.529241311
1c166470cad7342dfe84c43883028ff4,0.222038774,0.747618229,0.573874658,0.715032245,0.81379431,0.558846375,0.212522295,0.378594961,0.847294022,0.212522295,0.914885718,0.604359355,0.88100675
5d4bace5c11d58f40d790b0df5117c07,0.88100675,0.070365023,0.05252286,0.25195669,0.65108385,0.514673586,0.635382648,0.715032245,0.222038774,0.007889298,0.458068844,0.168397435,0.20323552
57e14ad5498a059fd5d1b7460ed587ad,0.216837546,0.707689457,0.387876789,0.283918278,0.604372172,0.159555948,0.672697141,0.142664562,0.04582563,0.779057343,0.196643937,0.142664562,0.098536043
02435758a80914a9d1f0866e5ccd2f81,0.113407239,0.304640592,0.503658582,0.217938286,0.12951011,0.702940023,0.665084541,0.185549132,0.470145082,0.206819339,0.121299126,0.390767271,0.741369081
a02785bd46c19508a9e75a50f3d9f3a2,0.460030329,0.012519873,0.205386351,0.286105102,0.797971695,0.864689785,0.487922275,0.067085787,0.732367505,0.067085787,0.732367505,0.308495272,0.898352804
992170eded4f84839f90b75612d8858c,0.105704572,0.211343628,0.841231156,0.527441791,0.6378521,0.929145985,0.371481998,0.018132763,0.6378521,0.858720651,0.056643229,0.654205491,0.589618693
2180f98cfd59b82eca216a69ccdf1988,0.482591715,0.789147998,0.439413762,0.26317194,0.621632737,0.497362103,0.621632737,0.093157828,0.321035084,0.297181462,0.425413443,0.149224054,0.321035084
61d918cb178db4b3eda401519bb58c94,0.509101515,0.117338103,1,0.930999141,0.794576966,0.695164092,0.965474778,0.007621974,0.538651441,0.372111793,0.196696052,1,0.23506871
2e03610cd42779a6acbc56880f73cee0,0.760776185,0.061439369,0.520766693,0.019301165,0.859366191,0.538099613,0.839472418,0.375695342,0.979830528,0.702940023,0.42173197,0.034644255,0.683936145
cca0c8e375ec4084c927aeadab88b2cb,0.899350168,0.253213519,0.253213519,0.879328675,0.959670941,0.26560479,0.919420915,0.555650009,0.291321404,0.113407239,0.503658582,0.799929504,0.919420915
a2a064f7249b2989513b7bb7ce4598e3,0.211343628,0.201719268,0.384646792,0.806438342,0.789147998,0.18321932,0.6378521,5.02792784136119e-05,0.126351474,0.841231156,0.0041988,0.893853069,0.149224054
3943450d7c374be60cab38dba128bd18,0.425413443,0.037183381,0.371481998,0.542741408,0.893853069,0.605553076,0.558207545,0.056643229,0.704011728,0.070914591,0.704011728,0.558207545,0.858720651
edf9caa0e3661a6de5e8ec54923e2827,0.001794488,0.57383506,0.720842697,0.425413443,0.333308653,0.468007207,0.033904569,0.105704572,0.333308653,0.654205491,0.093157828,0.771936932,0.929145985
46e5f55b6c19edfa651a98ffb4eb5be2,0.743161784,0.707689457,0.360402228,0.506811001,0.672697141,0.333899141,0.888697453,0.031399994,0.216837546,0.707689457,0.063924123,0.360402228,0.020317343
68e432bfa7f12caae8f3be3a0ab4537a,0.862394192,0.061137855,0.452055615,0.509101515,0.828362897,0.862394192,0.794576966,0.146240258,0.727931103,0.070605206,0.662828041,0.452055615,0.896622545
f218ae990ce16601ae9d70d405242896,0.126351474,0.025213004,0.512313721,0.297181462,0.754811502,0.982269715,0.26317194,0.010943137,0.946836001,0.26317194,0.297181462,0.411616235,0.893853069
4dac875185f61e84da283bc97007f9f4,0.589618693,0.040660848,0.18321932,0.016105693,0.858720651,1,0.333308653,0.558207545,0.512313721,0.371481998,0.946836001,0.022680892,0.119223463
89d842cbe4ebb6a62ffa125709d86dee,0.861067277,0.367180978,0.554787536,0.953528039,0.638240151,0.638240151,0.90717701,0.401968584,0.815318071,0.092120273,0.953528039,0.861067277,0.90717701
5fdd368bbfc645a2ee07666f3dae3707,0.741369081,0.206819339,0.879328675,0.939531117,0.799929504,0.939531117,0.899350168,0.098572158,0.760776185,0.165574206,0.437613517,0.979830528,0.627872864
30175b1a75194271637ff964b4821ccf,0.360402228,0.142664562,0.962816622,0.851884805,0.888697453,0.815318071,0.672697141,0.01591183,0.638240151,0.283918278,0.196643937,0.925695188,0.506811001
41ef0552657b5fd85a160975364f17b8,0.112341645,0.037183381,0.542741408,0.321035084,0.789147998,0.982269715,0.221216595,0.008206604,0.911482784,0.358535187,0.252316321,0.468007207,0.789147998
7825b19c7035e2faa0eabd172dde37ba,0.304640592,0.061439369,0.979830528,0.175399548,0.0668818,0.741369081,0.332183074,0.121299126,0.919420915,0.959670941,0.453753298,0.406114642,0.859366191
fc6fad425275d02298c759286ce506f4,0.126870367,0.30217959,0.681397167,0.953528039,0.475797239,0.191766989,0.438197804,0.025463562,0.146784307,0.681397167,0.367180978,0.554787536,0.367180978
4c9a79ee12898ef360cec15c9fbe6411,0.000393338,0.221216595,0.411616235,0.13372692,0.371481998,0.605553076,0.000786294,0.201719268,0.720842697,0.654205491,0.654205491,0.398026086,0.333308653
bcbb28f1acd467f114e3a0347a4ca9f6,0.360904075,0.437613517,0.470145082,0.503658582,0.175399548,0.979830528,0.839472418,0.332183074,0.741369081,0.839472418,0.206819339,0.538099613,0.919420915
72fbeb4e4edbed7a56325d432a6a76ea,0.272070827,1,1,0.126870367,0.475797239,0.475797239,0.272070827,0.725369136,0.725369136,0.126870367,0.725369136,0.272070827,0.272070827
34e26cbc5605a9110d8b7fb1139151e7,0.475797239,0.126870367,0.725369136,0.272070827,0.725369136,0.475797239,0.272070827,0.475797239,0.475797239,1,0.475797239,0.126870367,0.725369136
