,Tau,PC.O.32.2,X4.8.12.15.18.eicosapentaenoic.acid,X28.6.10Z.13Z.16Z.19Z.22Z.25Z.,GABA,LPC.O.18.0,Glu,X6Z.9Z.12Z.15Z.18Z.tetracosapentaenoic.acid,LPE.O.18.1,DGCC.16.0_22.6,Arachidonic.acid,ST.29.2.O5.3,SL.10.0.O.16.0.O
164ae6f1fe51c89d14f178270edfe70b,0.122839463,0.686030866,0.517700208,0.230732252,0.230732252,0.517700208,0.122839463,0.954475735,0.774057503,0.954475735,0.954475735,0.294583741,0.954475735
11be8ff9b50053a29a2d11bd4eb089ac,0.686030866,0.60035459,0.774057503,0.774057503,0.517700208,0.438739252,0.686030866,0.294583741,0.517700208,0.686030866,0.080141228,0.60035459,0.080141228
7e9686512ae077b3d77328c558f3b122,0.383220913,0.848393815,0.604216677,0.467910199,0.383220913,0.383220913,0.512225259,0.74886845,0.604216677,0.512225259,0.74886845,0.557699387,0.949310063
9a8259ec90dd26abe0fc3a9e11020bab,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.441112809,0.158302423,0.804726162,0.441112809,0.158302423,0.158302423,0.804726162
a191df7d4719b203acd0200bdb5efb73,0.46148284,0.617533817,0.049857585,0.000309086,0.354164298,0.424662508,0.913131785,0.699797968,0.658373571,0.320632583,0.826848213,0.024376892,0.658373571
3e2b0e1bf1c805cbf242ade2c28f25af,0.441112809,0.804726162,0.441112809,0.158302423,0.804726162,0.158302423,0.158302423,0.804726162,0.158302423,0.804726162,0.804726162,0.158302423,0.158302423
d952d7c492f66efcf8a598a66b27e12a,0.034109423,0.949310063,0.512225259,0.74886845,0.140357387,0.267777672,0.267777672,0.383220913,0.898736032,0.604216677,0.383220913,0.898736032,0.898736032
cd80de72ad2f796efd9605b6d3c8470c,0.441112809,0.804726162,0.441112809,0.158302423,0.804726162,0.158302423,0.158302423,0.804726162,0.158302423,0.804726162,0.804726162,0.158302423,0.158302423
d8676d93893c1043c3e11b83c4b2be4c,0.804726162,0.158302423,0.804726162,0.804726162,0.441112809,0.158302423,0.441112809,0.804726162,0.804726162,0.804726162,0.441112809,0.804726162,0.441112809
6c23195eab034aa7cbb038683c0eed5e,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.441112809,0.158302423,0.804726162,0.441112809,0.158302423,0.158302423,0.804726162
8e369206f88784d5a344388bc9f1465a,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.441112809,0.158302423,0.804726162,0.441112809,0.158302423,0.158302423,0.804726162
f302f72a8f1b2707b760c70baf9b4210,0.230732252,0.774057503,0.230732252,0.045837141,0.122839463,0.60035459,0.686030866,0.774057503,0.438739252,0.774057503,0.60035459,0.020598735,0.86376297
47f8e5bf3edc32cca5052903d3978a15,0.438739252,0.954475735,0.686030866,0.294583741,0.230732252,0.60035459,0.686030866,0.294583741,0.294583741,0.686030866,0.173260315,0.080141228,0.954475735
a5bf05da7be0e2dc4a74ac68758a80f7,0.804726162,0.441112809,0.804726162,0.441112809,0.804726162,0.804726162,0.441112809,0.158302423,0.804726162,0.441112809,0.158302423,0.158302423,0.804726162
04ecd617a2a80ef6657258f0816ee4b6,0.080141228,0.438739252,0.954475735,0.438739252,0.122839463,0.686030866,0.438739252,0.686030866,0.294583741,0.774057503,0.954475735,0.517700208,0.122839463
353ccb0173f5e92c6ac27dbeeb3e3ab6,0.441112809,0.804726162,0.441112809,0.158302423,0.804726162,0.158302423,0.158302423,0.804726162,0.158302423,0.804726162,0.804726162,0.158302423,0.158302423
7e05144b556dcf8bbdb190d13dad8ddc,0.080141228,0.438739252,0.954475735,0.438739252,0.122839463,0.686030866,0.438739252,0.686030866,0.294583741,0.774057503,0.954475735,0.517700208,0.122839463
4079867ca2548306e4279eadf0c872f5,0.774057503,0.954475735,0.686030866,0.954475735,0.686030866,0.60035459,0.438739252,0.173260315,0.60035459,0.517700208,0.045837141,0.438739252,0.122839463
