"","wild0","tank1","wild6","tank6","tank10","wild19","tank19"
"BMP",0.00902954776961849,0.024618026335769,0.0112679653561853,0.0119350624553822,0.0108743124434816,0.0137553170811684,0.00619742695957237
"CE",0.195577013371966,0.32039270617598,0.194020754376372,0.260615692413303,0.210869663353709,0.153977589205295,0.152042959518787
"DG",1.16958484791057,1.24762678902439,1.21378746664837,1.07765082229383,1.21174313299723,1.2021891875362,1.0766210258371
"DGCC",1.51849872729615,1.46415104656594,1.33562904695843,1.31680159360332,1.37862442216983,1.3816305546475,0.996582241019737
"DGDG",0.79455797506207,0.759697646304691,0.622239323487136,0.552086303704678,0.553173391759573,0.649389463610893,0.323963318192302
"DGTS",0.148814797046342,0.216955693683075,0.21986424159054,0.155083184790785,0.192951178927155,0.198407848534334,0.22379226041966
"LDGCC",0.563690126959753,0.699301369749853,0.305357079736943,0.443842082497557,0.507848257173819,0.441865392700729,0.372191422014065
"LDGTS",0.420426489744325,0.500353676691128,0.587745593266936,0.407246132345628,0.406947163257589,0.464254369380344,0.481151916979779
"LPC",0.956148212651491,1.26493321830232,1.27632908070318,1.06971933670052,1.18226112207277,1.19593760341719,0.867483354219041
"MG",0.30105631827935,0.403652262891121,0.20031257166962,0.237635346302274,0.240719741093292,0.197577829799162,0.263012414334888
"NAGly",0.324040830464453,0.564169742809084,0.391139104192061,0.336803904010445,0.43009337289289,0.360232739830197,0.27991315149891
"NAGlySer",0.00860480651337828,0.00558961800471563,0.0101365198054892,0.00378819457042618,0.00453336972533443,0.00767936410557539,0.00548069742832277
"NAOrn ",0.433246814138833,0.500195656577511,0.491404124480739,0.327304822833079,0.428260982284823,0.387368229897215,0.307018325896462
"PC",2.02029611039922,2.08213057458536,2.07965096503914,2.01610882057557,2.06634396321927,2.11494243463665,1.89523393864033
"SE",0.319499314823027,0.516752017011178,0.31301282759486,0.383264961625424,0.35687697642136,0.260691987286775,0.294962615681592
"SM",0.160609811129965,0.145256227864595,0.122517625653446,0.0961348109045214,0.109030539922645,0.105748941443766,0.109890764669392
"SPB",0.430514124945233,0.533920463994004,0.455638814269563,0.336247454502827,0.453196239989306,0.437934665700322,0.371569347796994
"TG",1.53976487418394,1.75667312412104,1.98038135744293,1.73306488453348,1.96359649411102,1.92106344128658,1.76772957924067
"fa",0.00257078444954864,0.00561632880192652,0.0086634383979825,0.00216094271162857,0.0059423207318468,0.0156605152047168,0.00402875145297362
"WE",0.0963365271456652,0.140953827412506,0.229962869153108,0.0909372736106205,0.171427422325751,0.232627589399703,0.108429780249634
"PA",0.72060914002107,0.774199570588028,0.790953902022599,0.595748026236577,0.71855779386732,0.676240094092528,0.513720186682448
"PG",0.648689315152142,0.741624641123037,0.71976198835057,0.646179570471537,0.666629708982526,0.682565791065127,0.578958201896529
"PIM1",0.0490608935428858,0.0730396402725876,0.0475101597889628,0.0382323445694947,0.0381651512306516,0.0309333815745819,0.0378052163297459
"Cer",1.31697190983115,1.37607998449086,1.21036910272204,1.1830948918992,1.32601121540416,1.24290656731104,1.16012138163893
"DGGA",0.0554165609895323,0.0623624441483504,0.0371909118104926,0.0378307412613591,0.0442277854461228,0.0319763535465991,0.0268481876170958
"HexCer",1.22462249132665,1.16656123504939,1.194961579062,1.08009872928131,1.13239850020509,1.14809209463626,1.04601987583401
"LPA",0.0547596724284264,0.023150351699561,0.0171301088139987,0.0186449518947608,0.0189398863579493,0.00937453247197799,0.0493907795930594
"LPE",1.2689219155676,1.26786771665027,1.39634285797036,1.16852078455893,1.23572172222801,1.24975736322719,1.07144731302994
"LPG",0.0752708172726407,0.0296383519407654,0.0398933076733456,0.0207648358372645,0.0128969776315138,0.0371409444471525,0.00687894261421257
"LPI",0.120048113981345,0.111024816923928,0.119191633133879,0.0770195724202176,0.0927933428498393,0.109155652425597,0.0741456684322281
"MGDG",1.26427485130929,1.16435283466408,1.03823931926065,1.02714191622719,1.0210229709056,1.06018208971904,0.703078863755881
"PE",1.42994462905649,1.42154435343078,1.47124439442276,1.39983527383328,1.40021498851038,1.4250780718419,1.2610165415999
"PI",0.879972714600528,0.857396283763732,0.875355219648472,0.808138073587647,0.789041803864884,0.876541075450195,0.646162023944388
"PS",1.07651910132213,1.10948429762835,1.17295084010532,1.03914901724633,1.06498724070846,1.08885527688577,0.958093455792178
"SL",1.37840890219356,1.39672615616447,1.13210894705381,1.31434999974532,1.27523873654276,1.36350485807461,1.23353999164096
"SQDG",0.275898227311609,0.340083769034633,0.247083357924548,0.236497728331606,0.264770567400682,0.279449852738611,0.152211602955524
"FA",1.72567907870929,1.61361121026624,1.80876331088987,1.45725850161061,1.55785136242091,1.67249599185623,1.43785624784387
"DGMG",0.0277319781370128,0.0258170803518097,0.00712080805955909,0.0248256335174014,0.0219256872627294,0.0105713182914718,0.010100449631
"GlcCer",0.203713034187524,0.234006972044724,0.274425092752124,0.210928690989111,0.266621470718405,0.299739486574784,0.234875379934266
"ST",0.872108582272015,0.974659538963828,0.899433914734944,0.816380969662756,0.85703636779962,0.863109906547673,0.788099194055031
"SQMG",0.180611992301566,0.208173377040511,0.114556381978837,0.158292384023255,0.204584228499787,0.120219035254015,0.11287896002771
